id,dataset,text,oracle
57,OrtuJIRA_test_0,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,0
58,OrtuJIRA_test_0,Integrated in Struts2 #545 (See https://builds.apache.org/job/Struts2/545/) WW-3881 allows new html input types (Revision 1397712) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/core/src/site/resources/tags/ajax/autocompleter.html,0
59,OrtuJIRA_test_0,Already resolved with WW-3414,0
60,OrtuJIRA_test_0,I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course,0
61,OrtuJIRA_test_0,> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance,0
62,OrtuJIRA_test_0,Assigning this to future until the dependent XWork enhancement is made.,0
63,OrtuJIRA_test_0,Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,0
64,OrtuJIRA_test_0,Ported the solution of WW-2551 to the Struts 2.0 branch.,0
65,OrtuJIRA_test_0,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,0
66,OrtuJIRA_test_0,This is by design,0
67,OrtuJIRA_test_0,we're moving away from dojo integration in struts2,0
68,OrtuJIRA_test_0,yay! it should be really really easy (not including the test,1
69,OrtuJIRA_test_0,This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541,0
70,OrtuJIRA_test_0,Reporter asked for this to be closed.,0
71,OrtuJIRA_test_0,Makes sense to me.,0
72,OrtuJIRA_test_0,duplicate of WW-1598,0
73,OrtuJIRA_test_0,Hellow,0
74,OrtuJIRA_test_0,As of r438174,0
75,OrtuJIRA_test_0,I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However,0
76,OrtuJIRA_test_0,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,0
77,OrtuJIRA_test_0,Given the dependencies,-1
78,OrtuJIRA_test_0,You are only flushing the writer,0
79,OrtuJIRA_test_0,This was fixed by having all the items in the action chain having their properties copied over to the new action.,0
80,OrtuJIRA_test_0,Property editors may throw a PropertyException with a bundle key and this will then be localized in ActionSupport.,0
81,OrtuJIRA_test_0,Thanks. The problem is with deferred node expansion,1
82,OrtuJIRA_test_0,I'll update the javadoc accordingly.,0
83,OrtuJIRA_test_0,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue,0
84,OrtuJIRA_test_0,Verified. I added the info to the RELEASE_NOTES file.,0
85,OrtuJIRA_test_0,Verified. I added the info to the RELEASE_NOTES file.,0
86,OrtuJIRA_test_0,Fixed.,0
87,OrtuJIRA_test_0,r563181 pom.xml,0
88,OrtuJIRA_test_0,r499213. The API changed as described in previous comments,0
89,OrtuJIRA_test_0,This was probably fixed by WODEN-86 which introduced support for the curly brace syntax in the http location template. This JIRA can now be closed.,0
90,OrtuJIRA_test_0,Resolved with no further action,0
91,OrtuJIRA_test_0,Issue is resolved. Closing per Bryant's approval to do so.,0
92,OrtuJIRA_test_0,Ah,0
93,OrtuJIRA_test_0,Thanks Sven!,1
94,OrtuJIRA_test_0,Attached QuickStart. Access URL is https://localhost:8443/test/ajaxtest - click on the buttons several times - refresh page: the counters should now reflect the clicks - click on the buttons more times - refresh page: the counters do not reflect click after first refresh,0
95,OrtuJIRA_test_0,Just an idea: how about treating a jar as versioned resource? For example in my case that would work beautifully: my star rating component was in its own jar file,0
96,OrtuJIRA_test_0,Bummer! -- The solution too this problem was that my JVM had too little memory (64MB) for allocating all the byte buffers required for writing / reading serialized pages.,-1
97,OrtuJIRA_test_0,Is there any documentation such as 'getting started with swarm' available? If there is,0
98,OrtuJIRA_test_0,Fixed with r1097472.,0
99,OrtuJIRA_test_0,See my comment in WICKET-3093.,0
100,OrtuJIRA_test_0,By the way,0
101,OrtuJIRA_test_0,Integrated in Apache Wicket 1.4.x #436 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/436/]) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤WICKET-3413 FLAG_INHERITABLE_MODEL and default model change reset 'inherited model' flag if model changed and a new one is not IComponentInheritedModel,0
102,OrtuJIRA_test_0,Integrated in Apache Wicket 1.4.x #200 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/200/]) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤,0
103,OrtuJIRA_test_0,Sorry,-1
104,OrtuJIRA_test_0,Integrated in Apache Wicket 1.4.x #58 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.4.x/58/]) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤,0
105,OrtuJIRA_test_0,this will be tackled when we improve ajax,0
106,OrtuJIRA_test_0,1.3.x is no longer maintained outside of security-related issues,0
107,OrtuJIRA_test_0,woops,0
108,OrtuJIRA_test_0,Integrated in Apache Wicket 1.5.x #54 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.5.x/54/]) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤,0
109,OrtuJIRA_test_0,thanks,1
110,OrtuJIRA_test_0,How about my comment at the end? 'Also,0
111,OrtuJIRA_test_0,seems like all subtask as resolved,0
112,OrtuJIRA_test_0,A RangeValidator exists by now which looks very similar to yours.,0
113,OrtuJIRA_test_0,Fixed and I've tested it.,0
114,OrtuJIRA_test_0,Fixed in trunk (r555005).,0
115,OrtuJIRA_test_0,It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail,0
116,OrtuJIRA_test_0,behvaiors:ajax calls is not always 1:1. some behaviors are purely clientside. also,0
117,OrtuJIRA_test_0,Rolled back the change to Resource and included a FIXME that notes we don't cover all cases. But that doesn't lead to very serious problems anymore as it least the exception isn't thrown up in ComponentResourceRequestTarget anymore.,0
118,OrtuJIRA_test_0,I just put this in branch-0.8 too. In fact,0
119,OrtuJIRA_test_0,Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.,0
120,OrtuJIRA_test_0,Changed the site to include the incubator disclaimer and incubator logo.,0
121,OrtuJIRA_test_0,Updated version of the patch. Removed the setter for the log storage provider in the stanza relay,0
122,OrtuJIRA_test_0,Committed in rev 983396,0
123,OrtuJIRA_test_0,Sorry for the link 'block',-1
124,OrtuJIRA_test_0,patch applied.,0
125,OrtuJIRA_test_0,Close all resolved issues for Engine 1.5 release.,0
126,OrtuJIRA_test_0,Looks solid. I'm okay with resolving this one.,1
127,OrtuJIRA_test_0,We'll look at the issue for 1.1,-1
128,OrtuJIRA_test_0,Closing as FIXED,0
129,OrtuJIRA_test_0,Code delivered to SVN.,0
130,OrtuJIRA_test_0,Change the element type of 'attributes' to FSAttribute.,0
131,OrtuJIRA_test_0,Thanks for that comment Richard! I was laboring under the (false) impression that I could not change the docs that went with our previous releases,1
132,OrtuJIRA_test_0,added fixVersion,0
133,OrtuJIRA_test_0,documentation needs updating,0
134,OrtuJIRA_test_0,Fixed a prompt that asks user to enter either 's' or 'q'.,0
135,OrtuJIRA_test_0,applied patch,1
136,OrtuJIRA_test_0,This issue is maybe related to UIMA-1408.,0
137,OrtuJIRA_test_0,I think this should be fixed/changed for uima-base too. Is there a reason it wasn't?,0
138,OrtuJIRA_test_0,To test this,1
139,OrtuJIRA_test_0,Patch applied Eric.,0
140,OrtuJIRA_test_0,Closing resolved issues,0
141,OrtuJIRA_test_0,Fixed. Sorry folks,-1
142,OrtuJIRA_test_0,Dave has let me know that this has resoved the issue,0
143,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
144,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
145,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
146,OrtuJIRA_test_0,This change is now in trunk as part of r679774.,0
147,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
148,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
149,OrtuJIRA_test_0,This is now fixed!,1
150,OrtuJIRA_test_0,I've just made some observations on the tuscany-user mailing list which should appear in the mailing list archives shortly,0
151,OrtuJIRA_test_0,Assign to 1.0 during tidy up prior to 1.1,0
152,OrtuJIRA_test_0,Closing because this has been in RESOLVED state for over one year,0
153,OrtuJIRA_test_0,Here is a complete patch removing Composite* from the getImplementation() calls,0
154,OrtuJIRA_test_0,Assign to 1.0 during tidy up prior to 1.1,0
155,OrtuJIRA_test_0,reattaching with grant of license,0
156,OrtuJIRA_test_0,Patch applied. Thanks!,1
157,OrtuJIRA_test_0,Fixed in revision 406707.,0
158,OrtuJIRA_test_0,Lazy session associated has been implemented in the TuscanyValve The spec people are still discussing Scope so I am going to close this and we can open a new issue when the spec clearly defines how scopes operate.,0
159,OrtuJIRA_test_0,Right now ET_CALL,0
160,OrtuJIRA_test_0,Moving these all to a 'Doc 3.x' release version.,0
161,OrtuJIRA_test_0,as for V2.1.4 and later,0
162,OrtuJIRA_test_0,Proposed patch.,0
163,OrtuJIRA_test_0,Reviewed and tested. Looks good so far,1
164,OrtuJIRA_test_0,UIXListView also provides selection functionality through 'selectedRowKeys',0
165,OrtuJIRA_test_0,This is on top of http://svn.apache.org/repos/asf/myfaces/trinidad/branches/2.0.0.1-branch,0
166,OrtuJIRA_test_0,Patch over 1.2.12.3 branch.,0
167,OrtuJIRA_test_0,This issue is already comitted,0
168,OrtuJIRA_test_0,More done: -absolute-ordering faces-config/factory/view-declaration-language-factory faces-config/render-kit/renderer/client-behavior-renderer faces-config/application/partial-traversal,0
169,OrtuJIRA_test_0,The call to launchDialog must supply a component for delivery of the returnListener event. This bug is invalid.,0
170,OrtuJIRA_test_0,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix,0
171,OrtuJIRA_test_0,The issue as described by (resolved) issue TRINIDAD-1171 occurs consistently in our environment using 1.2.10,0
172,OrtuJIRA_test_0,Appled patch with some changes to compile with the new public rendering API.,0
173,OrtuJIRA_test_0,in branch,0
174,OrtuJIRA_test_0,home page fixed in svn.,0
175,OrtuJIRA_test_0,I've re-worked my code and the problem has now 'gone away'. The original code,1
176,OrtuJIRA_test_0,Reopening issues to set version.,0
177,OrtuJIRA_test_0,Looks like a user issue to me,0
178,OrtuJIRA_test_0,Thanks to Hazem Saleh for provide us this enhancement fixed at revision 655653,1
179,OrtuJIRA_test_0,The above code is a part of a dataTable of course ...,0
180,OrtuJIRA_test_0,I have fixed that issue by checking for a null before the line 95 of HtmlInputTextRenderer: writer.writeAttribute(HTML.VALUE_ATTR,0
181,OrtuJIRA_test_0,Thanks to Simon Kitching.,1
182,OrtuJIRA_test_0,add separate handling for webkit browser,0
183,OrtuJIRA_test_0,I think you have enable ajax. f:loadBundle has only request scope. If you request the table sort the ajax response didn't know anything about the resource bundle. Please use tc:loadBundle it has session scope. But tc:loadBundle has a different semantic. Please consult the demo or other examples how to use it.,0
184,OrtuJIRA_test_0,Closed due to the release of Tiles 2.1.1,0
185,OrtuJIRA_test_0,Closed due to the release of Tiles 2.1.0.,0
186,OrtuJIRA_test_0,As suggested above,1
187,OrtuJIRA_test_0,TagSoup 1.2.1 is finally available,0
188,OrtuJIRA_test_0,Actually I think I already applied similar changes when doing the POI 3.6 upgrade in TIKA-353. Resolving as fixed.,0
189,OrtuJIRA_test_0,Integrated in Thrift #633 (See https://builds.apache.org/job/Thrift/633/) THRIFT-1879 Add support for GObject-Introspection (Revision a51186b7f2bd388d95485404017f05eb3b861074) Result = ABORTED roger : https://git-wip-us.apache.org/repos/asf?p=thrift.git&a=commit&h=a51186b7f2bd388d95485404017f05eb3b861074 Files : lib/c_glib/src/thrift/c_glib/transport/thrift_transport.h lib/c_glib/src/thrift/c_glib/server/thrift_simple_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_buffered_transport.h lib/c_glib/src/thrift/c_glib/transport/thrift_framed_transport.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol_factory.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol.h lib/c_glib/src/thrift/c_glib/server/thrift_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_transport_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_transport.h lib/c_glib/src/thrift/c_glib/thrift_application_exception.h lib/c_glib/src/thrift/c_glib/transport/thrift_memory_buffer.h lib/c_glib/src/thrift/c_glib/transport/thrift_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol.h lib/c_glib/src/thrift/c_glib/thrift_struct.h,0
190,OrtuJIRA_test_0,Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS,0
191,OrtuJIRA_test_0,Integrated in Thrift #407 (See https://builds.apache.org/job/Thrift/407/) THRIFT-1517 TTransport.ReadAll() should set exception type to EndOfFile Patch: Stefan Gmeiner (Revision 1291039) Result = SUCCESS roger : http://svn.apache.org/viewvc/?view=rev&rev=1291039 Files : /thrift/trunk/lib/csharp/src/Transport/TTransport.cs,0
192,OrtuJIRA_test_0,Integrated in Thrift #426 (See https://builds.apache.org/job/Thrift/426/) THRIFT-1532/ THRIFT-1475 - fix record generation for erlang (Revision 1303663) Result = SUCCESS molinaro : http://svn.apache.org/viewvc/?view=rev&rev=1303663 Files : /thrift/trunk/compiler/cpp/src/generate/t_erl_generator.cc /thrift/trunk/lib/erl/Makefile.am /thrift/trunk/lib/erl/test/Thrift1475.thrift,0
193,OrtuJIRA_test_0,Integrated in Thrift #230 (See https://builds.apache.org/job/Thrift/230/) THRIFT-1284. cpp: fix processor inheritance Don't make processors that have a proper parent class also inherit from TProcessor. Patch: Adam Simpkins bryanduxbury : http://svn.apache.org/viewvc/?view=rev&rev=1160933 Files : /thrift/trunk/compiler/cpp/src/generate/t_cpp_generator.cc,0
194,OrtuJIRA_test_0,#NOME?,0
195,OrtuJIRA_test_0,was introduced with THRIFT-1267,0
196,OrtuJIRA_test_0,committed,0
197,OrtuJIRA_test_0,Bryan,0
198,OrtuJIRA_test_0,Second shot at this one,0
199,OrtuJIRA_test_0,Ah,1
200,OrtuJIRA_test_0,In r681863,0
201,OrtuJIRA_test_0,Great! I'm glad you found it helpful.,1
202,OrtuJIRA_test_0,Very curious as to where you saw that exception. Because digging through my log files,0
203,OrtuJIRA_test_0,Duplicate of TAPESTRY-1988.,0
204,OrtuJIRA_test_0,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue),1
205,OrtuJIRA_test_0,patches applied,0
206,OrtuJIRA_test_0,Much cleared exception now .... org.apache.hivemind.ApplicationRuntimeException Component BadInjectComponent/border is not assignable to type org.apache.tapestry.html.Body. location: Annotation @org.apache.tapestry.annotations.InjectComponent(value=border) of public abstract org.apache.tapestry.html.Body pages.BadInjectComponent.getBorder() Stack Trace: ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* org.apache.tapestry.TapestryUtils.getComponent(TapestryUtils.java:301) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* $BadInjectComponent_0.finishLoad($BadInjectComponent_0.java) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* org.apache.tapestry.pageload.PageLoader.constructComponent(PageLoader.java:470) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* org.apache.tapestry.pageload.PageLoader.loadPage(PageLoader.java:639) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* $IPageLoader_1066542252f.loadPage($IPageLoader_1066542252f.java) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* $IPageLoader_10665422530.loadPage($IPageLoader_10665422530.java) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤* org.apache.tapestry.pageload.PageSource.getPage(PageSource.java:118),0
207,OrtuJIRA_test_0,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.,0
208,OrtuJIRA_test_0,Fixed - thanks!,1
209,OrtuJIRA_test_0,Does not occurs on Firefox or Curl. Probably a Chrome problem.,0
210,OrtuJIRA_test_0,Integrated in tapestry-trunk-freestyle #515 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/515/]) ?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤?â¢?Ã¤TAP5-1621 - Fixed test joshcanfield : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167447 Files : * /tapestry/tapestry5/trunk/tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/internal/services/TypeCoercerImplTest.java,0
211,OrtuJIRA_test_0,Seems like this has all been done.,0
212,OrtuJIRA_test_0,Thanks for the sample app,1
